French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
terre,Earth
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
